dni_ag,dni_na,dni_asym_ag,dni_asym_na,dni_dist_ag,dni_dist_na
.9405894,.8206156,.8696185,.8373131,.4381287,.8830736
1.14382,.839093,1.50348,.875497,.4407681,.8838732
.9569536,.7949646,.8595265,.7635424,.4250413,.8790476
1.14382,.839093,1.50348,.875497,.4407681,.8838732
.9405894,.8206156,.8696185,.8373131,.4381287,.8830736
.9405894,.8206156,.8696185,.8373131,.4381287,.8830736
1.14382,.839093,1.50348,.875497,.4407681,.8838732
.7264863,.8205331,.6840453,.8636752,.4544736,.8879608
1.118156,.8483741,1.006333,.8736659,.4141888,.8756285
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
.9569536,.7949646,.8595265,.7635424,.4250413,.8790476
.9176956,.8857723,1.009847,.9583098,.459203,.889347
1,1,1,1,1,1
1.118156,.8483741,1.006333,.8736659,.4141888,.8756285
1.118156,.8483741,1.006333,.8736659,.4141888,.8756285
.9569536,.7949646,.8595265,.7635424,.4250413,.8790476
.9569536,.7949646,.8595265,.7635424,.4250413,.8790476
.7264863,.8205331,.6840453,.8636752,.4544736,.8879608
.9176956,.8857723,1.009847,.9583098,.459203,.889347
.9569536,.7949646,.8595265,.7635424,.4250413,.8790476
1,1,1,1,1,1
.9405894,.8206156,.8696185,.8373131,.4381287,.8830736
.9917769,.8496651,1.077056,.9082343,.4423673,.8843557
.9569536,.7949646,.8595265,.7635424,.4250413,.8790476
.9405894,.8206156,.8696185,.8373131,.4381287,.8830736
.9176956,.8857723,1.009847,.9583098,.459203,.889347
.8444029,.7548478,.7662873,.7460406,1,1
.9569536,.7949646,1.065424,.82768,.4250413,.8790476
1.11379,.8152875,1.346664,.9073516,.4288366,.8802258
.7862852,.825208,.8093576,.87665,.4212756,.8778697
1.052882,.7830752,1.540818,.850673,.404115,.8723858
1,1,1,1,1,1
1.052882,.7830752,1.540818,.850673,.404115,.8723858
.7862852,.825208,.8093576,.87665,.4212756,.8778697
.7862852,.825208,.8093576,.87665,.4212756,.8778697
1.052882,.7830752,1.540818,.850673,.404115,.8723858
.753397,.7869163,.7897926,.8623779,.4270253,.8796647
1.310717,.8870984,1.313349,.95114,.4079048,.8736137
.9569536,.7949646,1.065424,.82768,.4250413,.8790476
.9569536,.7949646,1.065424,.82768,.4250413,.8790476
.9569536,.7949646,1.065424,.82768,.4250413,.8790476
1,1,1,1,1,1
.7958347,.8501984,.9750153,.9576764,.4128067,.8751876
.9569536,.7949646,1.065424,.82768,.4250413,.8790476
1.310717,.8870984,1.313349,.95114,.4079048,.8736137
1.310717,.8870984,1.313349,.95114,.4079048,.8736137
1,1,1,1,1,1
1,1,1,1,1,1
.753397,.7869163,.7897926,.8623779,.4270253,.8796647
.7958347,.8501984,.9750153,.9576764,.4128067,.8751876
1,1,1,1,1,1
.9569536,.7949646,1.065424,.82768,.4250413,.8790476
.7862852,.825208,.8093576,.87665,.4212756,.8778697
1.11379,.8152875,1.346664,.9073516,.4288366,.8802258
1,1,1,1,1,1
.7862852,.825208,.8093576,.87665,.4212756,.8778697
.7958347,.8501984,.9750153,.9576764,.4128067,.8751876
.6058849,.6627283,.6121582,.6819512,1,1
.9176956,.8857723,.8339533,.8187255,.459203,.889347
.7778713,.8949987,.7676708,.8842778,.4420353,.8842557
.920264,.9101661,.7731861,.8583906,.4191647,.8772055
1.17991,.8840222,1.409392,.852558,.4368241,.8826769
.7958347,.8501984,.6495824,.7547826,.4128067,.8751876
1.17991,.8840222,1.409392,.852558,.4368241,.8826769
.920264,.9101661,.7731861,.8583906,.4191647,.8772055
.920264,.9101661,.7731861,.8583906,.4191647,.8772055
1.17991,.8840222,1.409392,.852558,.4368241,.8826769
.7032141,.9720579,.6017112,.9457203,.4575305,.8888581
.959122,.7998063,.7844335,.7613055,.4216861,.8779985
.9176956,.8857723,.8339533,.8187255,.459203,.889347
.9176956,.8857723,.8339533,.8187255,.459203,.889347
.9176956,.8857723,.8339533,.8187255,.459203,.889347
.7958347,.8501984,.6495824,.7547826,.4128067,.8751876
1,1,1,1,1,1
.9176956,.8857723,.8339533,.8187255,.459203,.889347
.959122,.7998063,.7844335,.7613055,.4216861,.8779985
.959122,.7998063,.7844335,.7613055,.4216861,.8779985
.7958347,.8501984,.6495824,.7547826,.4128067,.8751876
.7958347,.8501984,.6495824,.7547826,.4128067,.8751876
.7032141,.9720579,.6017112,.9457203,.4575305,.8888581
1,1,1,1,1,1
.7958347,.8501984,.6495824,.7547826,.4128067,.8751876
.9176956,.8857723,.8339533,.8187255,.459203,.889347
.920264,.9101661,.7731861,.8583906,.4191647,.8772055
.7778713,.8949987,.7676708,.8842778,.4420353,.8842557
.7958347,.8501984,.6495824,.7547826,.4128067,.8751876
.920264,.9101661,.7731861,.8583906,.4191647,.8772055
1,1,1,1,1,1
.925638,.8924634,.7633542,.8152854,1,1
1,1,1,1,1,1
.9917769,.8496651,1.077056,.9082343,.4423673,.8843557
.9405894,.8206156,.8696185,.8373131,.4381287,.8830736
1.14382,.839093,1.50348,.875497,.4407681,.8838732
.9569536,.7949646,.8595265,.7635424,.4250413,.8790476
1.14382,.839093,1.50348,.875497,.4407681,.8838732
.9405894,.8206156,.8696185,.8373131,.4381287,.8830736
.9405894,.8206156,.8696185,.8373131,.4381287,.8830736
1.14382,.839093,1.50348,.875497,.4407681,.8838732
.7264863,.8205331,.6840453,.8636752,.4544736,.8879608
1.118156,.8483741,1.006333,.8736659,.4141888,.8756285
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
.9569536,.7949646,.8595265,.7635424,.4250413,.8790476
.9176956,.8857723,1.009847,.9583098,.459203,.889347
1,1,1,1,1,1
1.118156,.8483741,1.006333,.8736659,.4141888,.8756285
1.118156,.8483741,1.006333,.8736659,.4141888,.8756285
.9569536,.7949646,.8595265,.7635424,.4250413,.8790476
